"zcta5","county14","cntyname2","zipname","pop10","afact"
"11360","36081","Queens NY","New York, NY",18884,1
"11361","36081","Queens NY","New York, NY",28606,1
"11362","36081","Queens NY","New York, NY",17823,1
"11363","36081","Queens NY","New York, NY",6988,1
"11364","36081","Queens NY","New York, NY",34555,1
"11365","36081","Queens NY","New York, NY",42252,1
"11366","36081","Queens NY","New York, NY",13532,1
"11367","36081","Queens NY","New York, NY",41047,1
"11368","36081","Queens NY","New York, NY",109931,1
"11369","36081","Queens NY","New York, NY",38615,1
"11370","36081","Queens NY","New York, NY",28597,0.721
"11371","36081","Queens NY","Flushing, NY",0,
"11372","36081","Queens NY","New York, NY",66636,1
"11373","36081","Queens NY","New York, NY",100820,1
"11374","36081","Queens NY","New York, NY",43600,1
"11375","36081","Queens NY","New York, NY",68733,1
"11377","36081","Queens NY","New York, NY",89830,1
"11378","36081","Queens NY","New York, NY",34981,1
"11379","36081","Queens NY","New York, NY",34821,1
"11385","36081","Queens NY","New York, NY",98592,1
"11411","36081","Queens NY","New York, NY",18556,1
"11412","36081","Queens NY","New York, NY",34882,1
"11413","36081","Queens NY","New York, NY",38912,1
"11414","36081","Queens NY","New York, NY",26148,1
"11415","36081","Queens NY","New York, NY",19341,1
"11416","36081","Queens NY","New York, NY",24861,1
"11417","36081","Queens NY","New York, NY",28967,1
"11418","36081","Queens NY","New York, NY",36256,1
"11419","36081","Queens NY","New York, NY",47211,1
"11420","36081","Queens NY","New York, NY",44354,1
"11421","36081","Queens NY","New York, NY",39127,1
"11422","36081","Queens NY","New York, NY",30425,1
"11423","36081","Queens NY","New York, NY",29987,1
"11424","36081","Queens NY","Jamaica, NY",0,
"11425","36047","Kings NY","Vet Admin Ext Care Ctr, Jamaica, NY",0,
"11426","36081","Queens NY","New York, NY",17590,1
"11427","36081","Queens NY","New York, NY",23593,1
"11428","36081","Queens NY","New York, NY",19168,1
"11429","36081","Queens NY","New York, NY",25105,1
"11430","36081","Queens NY","New York, NY",184,1
"11432","36081","Queens NY","New York, NY",60809,1
"11433","36081","Queens NY","New York, NY",32687,1
"11434","36081","Queens NY","New York, NY",59129,1
"11435","36081","Queens NY","New York, NY",53687,1
"11436","36081","Queens NY","New York, NY",17949,1
"11451","36081","Queens NY","York College, Jamaica, NY",0,
"11691","36081","Queens NY","New York, NY",60035,1
"11692","36081","Queens NY","New York, NY",18540,1
"11693","36081","Queens NY","New York, NY",11916,1
"11694","36081","Queens NY","New York, NY",20408,1
"11697","36081","Queens NY","New York, NY",4079,1
